user_id,name,age,gender,location,latitude,longitude,interests,about_me,relationship_goal,personality,MBTI,education_level,occupation,zodiac_sign,height_cm,body_type,languages_spoken,dating_preference,photo_count,is_verified,is_premium_user,daily_active_minutes,last_login,likes_received,likes,blocked,swipes,messages_sent,response_rate,signup_date,negative_samples
11,Kenneth Wilcox,38,M,Indianapolis,42.331427,-83.045753,"sports, travel, art",Five seek follow blue staff out suggest.,Networking,Introvert,ENFP,PhD,Trade mark attorney,Gemini,188,Athletic,"French, Mandarin, Hindi",Everyone,6,True,False,25,2024-03-31,78,"[41, 284, 288, 831, 847, 724, 273, 458, 287, 761, 1, 987, 694, 232]","[993, 386, 216, 643, 215, 52, 212, 625]",40,94,0.42,2023-05-14,"[434, 222, 339, 421, 588, 970, 318, 431, 550, 405, 465, 952, 944, 683, 657, 178, 20, 556, 3, 241, 100, 602, 858, 449, 937, 698, 501, 520]"
12,Jeffrey Munoz,18,F,Minneapolis,27.950575,-104.990251,"cooking, gaming, photography",Together start audience push career by soldier call before much green conference.,Casual Dating,Introvert,ISTJ,High School,Nutritional therapist,Libra,198,Curvy,English,Women,2,False,False,99,2024-03-13,71,"[690, 191, 968, 364, 776, 428, 800, 592, 636]","[843, 970, 744, 840, 279]",480,63,0.67,2023-02-06,"[340, 211, 847, 787, 742, 985, 766, 706, 9, 616, 883, 713, 56, 574, 82, 249, 251, 432]"
13,Sarah Alvarado,48,F,Portland,34.052235,-86.158068,"music, technology, photography",Consider above forget performance make outside.,Networking,Introvert,ESFJ,High School,Glass blower/designer,Aries,154,Athletic,English,Men,5,False,False,92,2024-03-10,99,"[750, 671, 936, 313, 650, 974, 39, 647, 716, 697]","[169, 148, 477, 220, 540, 88]",219,36,0.49,2023-02-18,"[91, 920, 333, 188, 646, 344, 120, 769, 318, 568, 470, 24, 979, 360, 792, 173, 397, 280, 582, 317]"
14,Christina Smith,18,M,Salt Lake City,29.424122,-71.058884,"cooking, sports, travel",Particularly item number think I technology appear whether despite fact.,Casual Dating,Ambivert,ESFJ,Bachelor’s,Health and safety inspector,Aquarius,175,Slim,"Spanish, French",Everyone,4,True,False,103,2024-03-03,68,"[324, 906, 159, 891, 477, 612, 69]","[973, 267, 526, 320, 359, 752, 784, 481, 513, 681]",148,61,0.97,2023-05-29,"[193, 645, 224, 190, 541, 163, 636, 886, 596, 746, 431, 395, 522, 756]"
15,William Wilson,36,Non-binary,Sacramento,40.712776,-104.990251,"cooking, fitness, photography",Recent direction fish community area provide night ball thought lead early tree provide.,Networking,Introvert,ENFP,High School,"Designer, multimedia",Capricorn,156,Athletic,"Mandarin, French, Hindi",Men,6,False,False,87,2024-03-28,85,"[841, 847, 100, 888, 381, 667]","[252, 51, 576, 115, 814, 180, 549]",227,58,0.74,2023-07-08,"[497, 359, 534, 649, 799, 674, 471, 201, 634, 775, 119, 789]"
16,Joshua Harris,38,Non-binary,Philadelphia,42.331427,-121.4944,"art, technology, sports",Fact talk analysis research easy hand.,Long-term,Extrovert,ESTP,PhD,Building surveyor,Libra,155,Average,"Mandarin, Spanish, Hindi",Women,4,True,False,66,2024-03-13,33,"[364, 321, 562, 897, 616]","[558, 383, 408, 967, 258, 692, 958, 222, 520]",356,19,0.32,2023-06-14,"[287, 200, 714, 284, 351, 965, 199, 939, 776, 908]"
17,Karen Hahn,35,M,Sacramento,40.760779,-111.891047,"technology, music, reading",Film several eye political close until white cup structure positive type speak.,Casual Dating,Ambivert,ISTJ,Master’s,"Therapist, speech and language",Libra,184,Curvy,"Spanish, English",Women,2,False,False,39,2024-03-07,13,"[548, 936, 900, 892, 399, 671, 664, 556, 128, 227, 193, 784, 566, 925, 2]","[420, 562, 388, 70, 393, 233, 539, 551]",392,89,0.86,2024-02-13,"[301, 760, 626, 557, 585, 610, 782, 241, 672, 600, 743, 38, 176, 719, 999, 439, 996, 444, 430, 230, 21, 479, 13, 886, 210, 619, 447, 997, 181, 519]"
18,Tracey Harris,50,Non-binary,San Diego,28.538336,-118.243683,"technology, sports, gaming",Different ground nation including sound instead since admit interview.,Friends,Introvert,ENTP,Master’s,"Development worker, international aid",Aquarius,190,Slim,"French, Hindi",Men,3,True,False,72,2024-03-06,87,"[606, 617, 530, 526, 389, 864, 428, 321]","[92, 847, 997, 247, 274, 803]",374,76,0.22,2023-11-30,"[23, 485, 441, 784, 534, 363, 379, 344, 409, 286, 106, 274, 301, 802, 504, 677]"
19,Shawna Dorsey,25,F,Atlanta,33.749001,-121.4944,"travel, art, music",Organization on range director yourself send these message.,Long-term,Ambivert,ESFJ,Master’s,Fashion designer,Scorpio,193,Curvy,"French, English",Men,6,True,False,32,2024-03-26,75,"[429, 618, 247, 221, 76, 594, 527, 74, 255, 638, 646, 139, 719, 906, 385]","[38, 547, 30, 406, 355, 382]",500,30,0.32,2024-02-03,"[971, 281, 978, 220, 286, 715, 393, 921, 798, 909, 585, 781, 782, 871, 156, 67, 230, 522, 799, 800, 296, 575, 969, 847, 997, 524, 7, 6, 252, 880]"
20,Jeremy Bruce,40,Non-binary,San Jose,32.715736,-86.158068,"music, photography, travel",Education two sense but life boy.,Friends,Ambivert,ESFJ,PhD,"Lecturer, higher education",Libra,176,Athletic,"Hindi, French, Spanish",Everyone,4,False,False,60,2024-03-25,69,"[103, 151, 124, 411, 363, 219, 269, 675, 286, 560, 335, 645, 357, 274]","[723, 883, 730, 907, 709]",347,67,0.71,2023-10-13,"[797, 671, 940, 395, 527, 561, 258, 973, 956, 926, 933, 71, 891, 931, 241, 832, 818, 460, 917, 780, 72, 275, 12, 761, 919, 958, 538, 774]"
21,Christopher Rivers,34,Non-binary,Cleveland,25.76168,-122.332069,"gaming, reading, technology",Catch lose discuss until international majority soon red it address cause suffer physical.,Casual Dating,Ambivert,INTP,Bachelor’s,Control and instrumentation engineer,Taurus,160,Curvy,"English, Hindi, French",Men,6,False,True,60,2024-03-19,50,"[479, 451, 792, 11, 937, 199, 412, 650, 594, 710, 416]","[653, 383, 47, 463, 420, 884, 868, 546, 532, 526]",101,4,0.8,2023-12-15,"[169, 645, 900, 381, 300, 130, 476, 334, 961, 284, 190, 505, 904, 8, 93, 596, 193, 543, 110, 195, 182, 618]"
22,Stacy Jacobson,36,M,Salt Lake City,33.448376,-82.457177,"fitness, travel, gaming",Mother assume leg everyone create race father house some beyond let dark.,Long-term,Introvert,ENFP,Bachelor’s,Geophysical data processor,Pisces,174,Curvy,"Mandarin, English, Hindi",Everyone,4,True,False,89,2024-03-03,30,"[375, 534, 404, 890, 256]","[7, 13, 103, 264, 510, 670]",119,10,0.49,2023-06-18,"[957, 591, 306, 898, 415, 559, 455, 45, 649, 519]"
23,Shawn Henderson,46,F,Salt Lake City,44.977753,-82.457177,"sports, technology, art",Former grow yet look against rich television.,Friends,Ambivert,ISFJ,Bachelor’s,Advice worker,Pisces,189,Curvy,"Spanish, French",Everyone,5,True,True,17,2024-03-11,90,"[591, 867, 899, 317, 83, 72, 196, 842, 773, 151, 453, 950]","[975, 896, 554, 909, 1, 387, 348, 469, 456]",391,27,0.71,2023-06-07,"[295, 925, 791, 92, 224, 398, 258, 901, 970, 259, 284, 193, 599, 774, 291, 825, 488, 1000, 800, 963, 138, 937, 185, 942]"
24,Michelle Perry,20,M,San Diego,29.760427,-80.19179,"reading, technology, cooking",Head within city door most toward occur what pass glass leave present big.,Friends,Extrovert,ESTP,PhD,Insurance claims handler,Cancer,162,Slim,"English, Mandarin",Women,1,True,False,4,2024-03-15,5,"[352, 587, 86, 919, 940, 503, 337, 504, 153, 936, 126]","[354, 909, 908, 402, 95, 672, 659, 765]",96,83,0.36,2024-01-04,"[569, 74, 861, 255, 770, 932, 529, 43, 490, 448, 649, 943, 578, 245, 889, 517, 358, 104, 779, 326, 846, 705]"
25,Danielle Clayton,33,Non-binary,Detroit,35.779591,-98.493629,"gaming, fitness, reading",Specific product third player thousand friend country staff degree middle institution hit discuss.,Long-term,Ambivert,ENFP,Bachelor’s,Trade mark attorney,Aquarius,187,Average,"French, Spanish, English",Women,4,True,False,72,2024-03-20,87,"[644, 362, 148, 495, 297, 883, 69, 555, 94, 286]","[101, 913, 36, 286, 650, 551]",486,12,0.64,2023-11-04,"[455, 110, 681, 49, 25, 920, 732, 772, 92, 169, 891, 424, 109, 91, 988, 291, 812, 483, 73, 737]"
26,Micheal Gomez,19,Non-binary,Dallas,27.950575,-75.165222,"photography, gaming, travel",Big over add role guess reality single.,Networking,Introvert,INTP,PhD,Community development worker,Virgo,157,Curvy,"Hindi, English, Spanish",Women,1,True,True,22,2024-03-23,66,"[201, 445, 19, 280, 35, 469, 505, 854, 864, 621, 373, 51, 968, 467, 936]","[341, 764, 427, 116, 52, 703, 281, 103, 537, 589]",457,6,0.61,2023-06-22,"[826, 460, 324, 269, 173, 786, 960, 888, 743, 959, 144, 222, 644, 485, 487, 589, 109, 497, 464, 482, 654, 739, 352, 810, 542, 977, 931, 675, 131, 648]"
27,Rodney Nash,26,Non-binary,Atlanta,33.448376,-81.379234,"art, technology, photography",Son traditional point lead too still evening south.,Friends,Introvert,ISFJ,Master’s,Broadcast presenter,Cancer,155,Slim,Spanish,Women,5,True,False,67,2024-03-15,51,"[778, 846, 604, 413, 885, 229, 422]","[70, 619, 322, 444, 492, 144, 590, 749, 792]",256,69,0.83,2023-03-09,"[488, 270, 998, 513, 329, 230, 959, 816, 819, 585, 388, 869, 670, 5]"
28,Stephanie Pollard,35,Non-binary,Miami,30.267153,-82.457177,"sports, music, gaming",Theory those attack itself stuff its economy write shake among suffer fly.,Casual Dating,Extrovert,INFJ,PhD,Higher education careers adviser,Capricorn,159,Slim,"Spanish, Hindi",Women,2,True,False,28,2024-03-27,88,"[704, 938, 481, 421, 560, 952, 292, 462, 936, 342, 262]","[211, 614, 175, 778, 124, 325, 466, 512, 768]",18,55,0.42,2023-10-18,"[595, 505, 713, 651, 989, 647, 999, 124, 582, 509, 238, 217, 769, 19, 388, 371, 502, 594, 742, 611, 772, 148]"
29,Michael Sims,36,F,Dallas,41.49932,-81.694361,"photography, cooking, sports",Again return production science record culture section card.,Networking,Introvert,ISTJ,PhD,Animal technologist,Taurus,153,Average,Mandarin,Everyone,5,True,False,33,2024-03-26,0,"[835, 493, 777, 364, 881]","[153, 960, 388, 771, 621, 251, 160]",217,54,0.69,2023-09-09,"[337, 248, 160, 587, 97, 345, 903, 772, 957, 830]"
30,Jay Coffey,47,Non-binary,Salt Lake City,39.952583,-86.158068,"photography, music, cooking",Guy someone gas media stay avoid draw.,Friends,Introvert,INFJ,PhD,"Lecturer, higher education",Taurus,158,Slim,"Hindi, Spanish, French",Women,3,True,True,118,2024-03-05,15,"[959, 682, 720, 49, 159, 846, 960, 856, 359]","[920, 724, 323, 773, 781]",184,52,0.46,2023-01-22,"[555, 709, 93, 263, 596, 428, 459, 78, 890, 432, 198, 791, 144, 714, 174, 505, 658, 19]"
31,Felicia Brown,41,M,Sacramento,41.49932,-96.796989,"travel, photography, art",Religious style various structure but writer ahead card safe military.,Networking,Introvert,ISTJ,Bachelor’s,Illustrator,Sagittarius,161,Average,"Hindi, Spanish",Men,6,False,False,13,2024-03-08,38,"[357, 964, 744, 395, 42, 78, 763, 278, 973, 874, 230, 383, 864, 370, 287]","[973, 673, 107, 623, 354, 789]",357,20,0.32,2023-05-07,"[994, 300, 805, 475, 286, 166, 811, 593, 686, 585, 927, 833, 802, 333, 128, 218, 378, 800, 193, 248, 634, 460, 899, 327, 826, 661, 477, 847, 758, 715]"
32,Karen Dougherty,41,M,New York,29.760427,-98.493629,"fitness, travel, photography",Probably structure there capital piece fight true site land tough forward step.,Casual Dating,Introvert,ESFJ,Master’s,Surgeon,Leo,173,Average,"French, Mandarin",Men,3,True,True,35,2024-03-18,25,"[660, 103, 607, 266, 32, 756, 901, 98, 242, 263, 165, 252, 66, 520]","[241, 435, 608, 252, 275]",358,26,0.54,2024-02-02,"[18, 760, 836, 223, 642, 435, 516, 943, 278, 530, 462, 1000, 616, 705, 939, 813, 425, 982, 375, 275, 505, 829, 651, 424, 350, 549, 996, 831]"
33,Mary Cox,31,F,Austin,28.538336,-121.4944,"photography, gaming, music",Score upon forget run up arrive reach agree.,Long-term,Extrovert,ISFJ,Master’s,Civil Service administrator,Sagittarius,190,Slim,"Spanish, Hindi",Everyone,1,True,False,81,2024-03-15,17,"[731, 895, 768, 732, 317, 810, 927, 740, 257, 274, 858, 77]","[381, 574, 946, 539, 77, 65, 824, 669, 294]",45,92,0.7,2023-04-18,"[847, 498, 959, 733, 275, 453, 500, 59, 674, 412, 142, 258, 968, 199, 663, 391, 349, 153, 547, 404, 738, 293, 172, 608]"
34,Jessica Patrick,24,Non-binary,Orlando,34.052235,-86.158068,"cooking, travel, photography",Those old raise material bad degree water hard make finish.,Networking,Introvert,ISTJ,Bachelor’s,Colour technologist,Libra,156,Curvy,"Mandarin, Spanish, French",Everyone,2,False,False,20,2024-03-16,19,"[722, 448, 507, 793, 532, 502, 471, 183, 328, 672, 699, 213, 990, 152, 13]","[852, 404, 189, 802, 790, 946]",344,46,0.63,2023-01-29,"[6, 29, 52, 418, 363, 641, 841, 963, 192, 951, 483, 302, 163, 366, 744, 233, 404, 601, 95, 700, 675, 136, 342, 978, 62, 684, 686, 845, 626, 129]"
35,Katherine Garcia,47,F,Kansas City,32.715736,-104.990251,"cooking, art, technology",Drive size mission skin side land anyone according director ten prepare.,Casual Dating,Ambivert,ENFP,High School,Medical secretary,Virgo,163,Average,"Hindi, French, Spanish",Men,4,True,False,92,2024-03-06,94,"[396, 557, 614, 441, 910, 709]","[29, 134, 452, 514, 536, 781, 904]",282,0,0.69,2023-08-18,"[173, 490, 790, 972, 230, 146, 189, 506, 597, 908, 109, 424]"
36,Matthew Holland,37,F,Portland,29.760427,-111.891047,"fitness, photography, art",Fish how whom listen after create administration month majority.,Networking,Introvert,INFJ,PhD,"Designer, blown glass/stained glass",Gemini,177,Slim,"Hindi, English, Spanish",Women,5,True,False,92,2024-03-13,55,"[93, 472, 879, 750, 277, 9, 100, 422, 145, 838, 916]","[510, 769, 204, 296, 101, 858]",176,36,0.22,2023-03-26,"[239, 715, 718, 265, 284, 974, 444, 925, 690, 127, 345, 485, 829, 810, 797, 825, 342, 608, 222, 995, 92, 30]"
37,Raymond Rojas,33,F,Chicago,33.749001,-117.161087,"gaming, music, sports",Western drop red out career common put threat eat.,Networking,Extrovert,ENTP,Bachelor’s,Tour manager,Capricorn,196,Slim,Spanish,Everyone,3,True,False,34,2024-03-21,99,"[449, 786, 869, 903, 770, 351, 156, 732, 336]","[229, 72, 971, 897, 586, 174, 548, 158, 769, 899]",398,53,0.66,2023-06-28,"[115, 9, 266, 530, 369, 245, 875, 77, 406, 769, 884, 442, 268, 714, 683, 206, 944, 113]"
38,Jonathan Porter,24,Non-binary,Raleigh,29.760427,-75.165222,"music, fitness, art",Record Mr sit adult these than model including her whole friend dog produce.,Networking,Introvert,ENFP,High School,Geochemist,Leo,180,Average,"English, Spanish",Men,6,False,False,42,2024-03-03,4,"[393, 60, 289, 303, 705, 548, 949, 881, 370, 440, 449, 154, 965]","[898, 297, 526, 407, 85, 145]",118,5,0.81,2023-12-08,"[783, 409, 238, 825, 177, 559, 981, 104, 39, 796, 761, 814, 467, 619, 17, 101, 797, 404, 479, 196, 538, 252, 345, 113, 124, 611]"
39,Danielle Hahn,19,F,Austin,33.749001,-78.638176,"technology, fitness, art",Method raise first sell production garden lead fill.,Friends,Extrovert,ESFJ,Master’s,Building surveyor,Sagittarius,170,Slim,Mandarin,Everyone,4,True,False,18,2024-03-09,48,"[532, 683, 595, 113, 702, 384, 116, 926, 363, 692, 112, 193, 184]","[366, 328, 28, 953, 139, 732, 46, 235, 705, 12]",200,98,0.63,2023-10-10,"[908, 682, 594, 958, 726, 827, 639, 995, 339, 835, 338, 60, 25, 416, 627, 848, 980, 408, 876, 390, 575, 366, 694, 441, 421, 754]"
40,Jason Duke,37,F,Miami,41.49932,-117.161087,"travel, art, photography",Maintain family town he wish face along image where.,Long-term,Ambivert,INFJ,Bachelor’s,Health promotion specialist,Libra,163,Curvy,"Mandarin, English, Spanish",Everyone,3,False,False,95,2024-03-27,56,"[345, 161, 861, 729, 892]","[75, 419, 187, 981, 228, 493, 799, 339, 454, 353]",429,85,0.44,2023-04-18,"[273, 300, 291, 594, 156, 624, 383, 460, 52, 347]"
41,Amanda Diaz,35,F,Austin,28.538336,-122.332069,"photography, fitness, sports",List even federal check attack morning investment computer police sure use participant number.,Networking,Introvert,INTP,Master’s,"Designer, exhibition/display",Sagittarius,195,Average,"Hindi, Mandarin",Women,6,True,False,119,2024-03-14,85,"[528, 602, 656, 982, 480, 116]","[471, 829, 257, 725, 446, 711, 710]",393,8,0.33,2023-11-14,"[917, 984, 110, 265, 998, 62, 614, 58, 419, 646, 189, 695]"
42,Nancy Martin,29,F,Seattle,32.715736,-80.19179,"reading, gaming, sports",Require catch safe push board first.,Long-term,Introvert,INTP,Master’s,Exercise physiologist,Aquarius,152,Slim,French,Everyone,3,True,False,14,2024-03-05,66,"[653, 828, 642, 308, 184, 253, 797, 649, 749, 459]","[51, 913, 843, 772, 569, 402, 750]",205,84,0.96,2023-08-30,"[747, 334, 252, 960, 581, 83, 640, 364, 708, 434, 503, 943, 206, 750, 501, 314, 329, 139, 733, 223]"
43,James Smith,34,F,Los Angeles,39.739236,-82.457177,"technology, sports, fitness",Million economy strong structure plan be rich push people affect.,Casual Dating,Ambivert,INTP,Bachelor’s,Tax inspector,Scorpio,171,Athletic,"Hindi, French, Spanish",Men,1,False,False,80,2024-03-08,13,"[42, 370, 34, 835, 130, 518, 489, 765, 215]","[997, 249, 492, 714, 142, 191]",221,100,0.26,2023-12-01,"[555, 992, 720, 940, 785, 98, 803, 852, 434, 175, 839, 858, 430, 177, 961, 533, 387, 695]"
44,Tiffany Baker,37,M,Orlando,28.538336,-71.058884,"photography, reading, fitness",Defense president huge center none part effect civil part begin tax baby.,Long-term,Ambivert,ISFJ,High School,"Administrator, Civil Service",Scorpio,193,Slim,French,Men,6,True,False,58,2024-03-25,63,"[254, 508, 343, 245, 671]","[910, 904, 958, 310, 409]",424,87,0.72,2023-04-21,"[416, 141, 542, 782, 955, 196, 205, 743, 279, 689]"
45,Brendan Dixon,33,F,Columbus,45.515232,-96.796989,"fitness, travel, reading",Conference need care professor general letter show expert pay easy gas best newspaper.,Long-term,Introvert,INTP,PhD,Agricultural engineer,Sagittarius,172,Slim,"Hindi, English",Women,1,False,True,91,2024-03-15,46,"[596, 412, 503, 81, 975, 611, 784, 48, 971, 788, 764]","[361, 714, 425, 171, 35, 550, 245, 432, 682]",66,22,0.76,2023-04-07,"[222, 638, 67, 134, 659, 151, 142, 20, 216, 160, 186, 988, 290, 253, 361, 118, 986, 320, 577, 170, 571, 556]"
46,Dr. Julie Martin,21,F,Sacramento,45.515232,-93.265015,"music, reading, sports",They article sit side line happy.,Networking,Introvert,ISTJ,Master’s,"Conservator, furniture",Aquarius,188,Average,Spanish,Men,2,True,False,33,2024-03-10,83,"[706, 298, 368, 425, 524, 104, 459, 667, 214, 697, 261, 580, 66]","[454, 126, 43, 88, 332, 679, 869, 278]",81,37,0.72,2023-11-17,"[509, 431, 893, 164, 13, 661, 485, 540, 769, 891, 552, 663, 767, 476, 838, 38, 274, 986, 835, 579, 668, 262, 366, 707, 84, 777]"
47,Kristen Schmidt,28,M,Minneapolis,44.977753,-74.005974,"reading, photography, cooking",Some another knowledge line agent particular yard.,Networking,Introvert,ISTJ,Master’s,IT sales professional,Gemini,167,Curvy,"French, Spanish",Men,1,True,False,69,2024-03-21,8,"[775, 686, 605, 303, 981, 776, 945, 925, 337, 479, 762, 441]","[68, 150, 906, 640, 342, 136, 884, 203, 69, 383]",358,8,0.83,2023-09-27,"[694, 941, 26, 51, 507, 334, 282, 123, 304, 683, 390, 269, 429, 478, 87, 422, 615, 820, 513, 210, 685, 805, 275, 749]"
48,Julian Miller,44,F,Denver,37.338208,-111.891047,"fitness, reading, photography",Order information wind possible best early model pass become worker forward.,Friends,Extrovert,ISTJ,PhD,Broadcast engineer,Virgo,187,Curvy,"Mandarin, Spanish, English",Women,3,True,False,120,2024-03-04,36,"[835, 225, 198, 447, 299, 84, 586, 653, 998, 784]","[125, 414, 288, 809, 385, 907]",265,43,0.23,2023-06-19,"[855, 472, 360, 956, 117, 426, 115, 825, 25, 319, 648, 542, 492, 359, 456, 876, 719, 771, 833, 711]"
49,Katherine Hatfield,40,M,Portland,34.052235,-121.4944,"travel, music, art",Space peace edge ever doctor just interesting whole drop career color.,Casual Dating,Introvert,ISTJ,Bachelor’s,Retail manager,Taurus,158,Slim,"English, Spanish, Hindi",Men,5,True,True,3,2024-03-18,91,"[756, 857, 891, 101, 248, 271, 718, 321, 63, 921, 281, 485, 693, 855, 592]","[874, 672, 750, 59, 40]",256,41,0.34,2023-12-26,"[440, 472, 138, 618, 67, 446, 179, 79, 468, 629, 772, 835, 689, 751, 682, 894, 62, 792, 332, 865, 226, 180, 842, 183, 381, 17, 379, 366, 658, 958]"
50,Jimmy Farrell,40,M,Portland,33.749001,-96.796989,"photography, music, fitness",Seek while speech along stage however treat above nation.,Casual Dating,Ambivert,ESFJ,Bachelor’s,Medical secretary,Aries,184,Athletic,Hindi,Men,6,True,False,7,2024-03-22,3,"[953, 161, 638, 44, 422, 607, 131, 309, 561, 778, 544]","[631, 400, 680, 218, 607, 133, 421]",19,79,0.48,2023-10-10,"[474, 584, 250, 852, 930, 529, 565, 592, 841, 626, 340, 352, 634, 581, 587, 776, 927, 895, 801, 80, 823, 556]"
51,Kathleen Peters,27,F,Columbus,39.739236,-117.161087,"sports, fitness, gaming",Someone another before site where skin suddenly avoid herself development.,Friends,Extrovert,INTP,Master’s,Hydrologist,Taurus,164,Athletic,"Hindi, French",Women,2,True,True,11,2024-03-28,85,"[460, 23, 696, 36, 188, 153, 732, 399, 332, 110]","[205, 931, 233, 751, 471, 969]",300,22,0.94,2023-10-30,"[779, 456, 976, 206, 665, 181, 794, 973, 446, 669, 902, 928, 606, 170, 813, 774, 18, 915, 210, 323]"
