user_id,name,age,gender,location,latitude,longitude,interests,about_me,relationship_goal,personality,MBTI,likes,swipes,messages_sent,response_rate,signup_date,education_level,occupation,zodiac_sign,height_cm,body_type,languages_spoken,dating_preference,likes_received,photo_count,is_verified,daily_active_minutes,last_login,is_premium_user
48,Pamela Thompson,38,Non-binary,Raleigh,32.776665,-96.796989,"art, technology, photography",Individual court benefit such change course herself hour always major improve reality writer fall.,Long-term,Introvert,ISFJ,"[613, 396, 471, 982, 851, 384, 445]",447,0,0.84,2023-04-16,Bachelor’s,Biomedical scientist,Scorpio,161,Slim,"English, Mandarin, Hindi",Men,95,4,False,78,2024-03-03,False
49,Michele Bell,33,F,Phoenix,28.538336,-122.678448,"fitness, technology, cooking",Information husband ever across room identify democratic these player analysis your.,Long-term,Introvert,ISFJ,"[83, 628, 406, 338, 112, 180, 571, 445, 438, 696]",405,87,0.36,2024-01-10,Bachelor’s,"Therapist, sports",Libra,200,Athletic,"Mandarin, Spanish",Men,39,1,False,0,2024-03-28,False
50,Daniel Conner,36,M,Raleigh,42.360081,-82.998794,"travel, art, gaming",Open son when speech key scene policy hot we trip all air tonight.,Networking,Extrovert,ESFJ,"[413, 125, 634, 18, 375, 198, 529]",199,79,0.51,2023-12-20,Master’s,Illustrator,Capricorn,182,Average,Mandarin,Everyone,17,3,False,20,2024-03-06,False
51,Steven Mitchell,49,Non-binary,Orlando,44.977753,-75.165222,"reading, sports, photography",Less magazine seem mind body Democrat ground product money bar leg toward.,Friends,Introvert,ENTP,"[765, 432, 770, 81, 113, 547, 964, 818, 476, 555]",476,74,0.88,2023-02-19,Master’s,"Surveyor, commercial/residential",Leo,193,Curvy,"French, English",Everyone,10,2,True,85,2024-03-15,False
52,Raymond Oneill,29,F,Columbus,39.739236,-71.058884,"photography, cooking, sports",Choice student development mother character at job thus figure weight certain difference year.,Casual Dating,Extrovert,INTP,"[193, 296, 989, 718, 68, 892]",294,84,0.88,2024-03-15,Master’s,Estate agent,Gemini,199,Athletic,"Spanish, French",Men,31,4,True,72,2024-03-25,False
53,Devon West,27,M,Los Angeles,30.267153,-121.886329,"gaming, cooking, travel",Ahead however campaign call high truth.,Long-term,Ambivert,INFJ,"[811, 916, 884, 53, 208, 231, 795, 663, 876, 578, 335, 913, 568, 547, 466]",142,38,0.92,2023-01-27,High School,Logistics and distribution manager,Sagittarius,160,Curvy,Mandarin,Women,9,6,False,78,2024-03-09,False
54,Paul Contreras,28,Non-binary,Columbus,41.49932,-86.158068,"cooking, travel, fitness",Woman benefit ahead detail wife truth ground call reduce debate common.,Casual Dating,Introvert,ISTJ,"[96, 288, 845, 843, 91, 673, 793, 142, 173, 612, 358]",225,34,0.8,2024-02-03,High School,Health and safety inspector,Gemini,198,Athletic,Spanish,Men,53,3,False,74,2024-03-15,False
55,Katherine Wilson,23,F,San Diego,37.338208,-115.139832,"technology, fitness, sports",Only especially country our central story key development describe while contain building cup.,Networking,Introvert,ISFJ,"[33, 35, 958, 131, 388, 974, 848, 863, 645]",39,63,0.61,2024-01-28,Master’s,Mining engineer,Scorpio,182,Slim,"Spanish, Hindi, French",Men,49,6,False,15,2024-03-10,False
56,Michelle Wright,26,F,Cleveland,25.76168,-122.678448,"photography, music, travel",Senior seem apply leader police detail short marriage door student.,Casual Dating,Extrovert,ENFP,"[722, 695, 828, 742, 543, 681, 936, 384, 352, 684, 843, 175, 495, 121, 110]",53,41,0.98,2023-11-19,Bachelor’s,Fisheries officer,Sagittarius,193,Curvy,"Mandarin, Hindi, French",Everyone,74,3,False,9,2024-03-29,False
57,Ashley Hayes,45,Non-binary,Las Vegas,35.779591,-87.629799,"travel, sports, reading",Partner less smile weight doctor friend employee.,Casual Dating,Extrovert,ISTJ,"[999, 222, 752, 553, 853, 868, 700, 944, 328, 197, 5, 248]",61,59,0.28,2024-02-22,High School,Higher education careers adviser,Cancer,186,Average,"English, French",Women,85,4,True,26,2024-03-20,False
58,Terry Delgado,20,M,Las Vegas,42.360081,-71.058884,"photography, sports, reading",Accept green get floor degree project heart generation believe.,Networking,Extrovert,ESFJ,"[358, 109, 767, 481, 1000, 254, 205, 85]",81,38,0.95,2023-11-11,Bachelor’s,"Embryologist, clinical",Leo,182,Slim,"Hindi, English, Spanish",Women,87,4,False,98,2024-03-21,False
59,David Martin,20,M,Columbus,39.739236,-118.243683,"art, photography, technology",No interest national international factor member policy field rest sort.,Networking,Introvert,ISTJ,"[101, 498, 621, 781, 203, 765, 328, 23, 742, 208]",179,49,0.22,2023-04-29,Bachelor’s,Microbiologist,Taurus,166,Curvy,Hindi,Everyone,87,3,True,53,2024-03-10,False
60,Ralph Goodwin,23,M,Seattle,28.538336,-98.493629,"reading, sports, art",Sit it all mother buy station now with to act.,Networking,Introvert,ENTP,"[559, 791, 319, 721, 372, 693, 369, 808, 158, 885, 567]",37,72,0.43,2024-01-22,Master’s,Fine artist,Leo,189,Slim,"Spanish, French",Men,56,4,False,48,2024-03-09,True
61,Angela Martinez,41,M,Indianapolis,41.49932,-82.998794,"technology, reading, sports",Couple manager may table agree practice city.,Casual Dating,Extrovert,INTP,"[783, 798, 64, 361, 629, 278, 839, 107, 760, 83, 127, 507, 498, 47, 920]",469,19,0.79,2024-02-07,PhD,"Psychologist, clinical",Virgo,179,Curvy,"French, Hindi",Women,22,6,True,61,2024-03-13,False
62,Jacqueline Robinson,33,Non-binary,Sacramento,38.581572,-81.694361,"gaming, music, sports",Option point dog bring society three throughout world rule it fish smile.,Casual Dating,Ambivert,ENTP,"[22, 878, 968, 296, 527]",68,48,0.36,2023-04-24,PhD,"Designer, blown glass/stained glass",Virgo,187,Average,"Mandarin, French",Men,16,5,False,82,2024-03-25,False
63,Jack Perez,34,Non-binary,Kansas City,32.715736,-98.493629,"fitness, cooking, photography",Still well environmental energy ever letter player raise term word arm contain computer.,Casual Dating,Extrovert,ISTJ,"[235, 599, 291, 629, 771, 114, 427, 176]",188,76,0.42,2023-08-27,Bachelor’s,"Production designer, theatre/television/film",Leo,178,Slim,"English, French, Mandarin",Women,90,6,False,37,2024-03-30,False
64,Michelle Butler,48,M,Denver,42.331427,-84.387978,"photography, reading, technology",Thousand send character such these choose well anyone simple theory ago.,Long-term,Extrovert,ENFP,"[906, 179, 576, 759, 846, 599]",222,30,0.6,2023-05-25,Bachelor’s,Patent examiner,Pisces,177,Athletic,Mandarin,Everyone,29,2,True,88,2024-03-19,False
65,Zachary Ryan,29,Non-binary,Cleveland,42.331427,-95.369804,"gaming, art, travel",Down outside what name interesting apply I modern agency better deep.,Friends,Introvert,INTP,"[493, 387, 807, 591, 953]",180,62,0.27,2023-10-30,Bachelor’s,Agricultural engineer,Capricorn,158,Curvy,"French, English",Everyone,47,3,True,56,2024-03-22,False
66,David Benjamin,27,M,Tampa,33.749001,-122.678448,"music, sports, travel",Sister laugh professional project to they.,Casual Dating,Introvert,ISTJ,"[694, 626, 36, 492, 113, 989, 531, 414, 2, 419, 710, 628]",192,82,0.94,2023-11-27,PhD,"Engineer, biomedical",Scorpio,187,Curvy,"English, Spanish, Hindi",Women,86,3,False,26,2024-03-12,False
67,Michael Woods,32,Non-binary,Tampa,36.169941,-122.332069,"gaming, sports, music",Close program another different travel she.,Friends,Ambivert,INTP,"[1, 270, 397, 716, 411, 400, 902, 919, 266, 576, 935, 730, 850]",147,87,0.94,2023-01-27,Bachelor’s,"Administrator, charities/voluntary organisations",Leo,184,Athletic,"French, English",Men,63,4,False,51,2024-03-21,True
68,Amber Farmer,30,F,Kansas City,40.712776,-94.578568,"gaming, travel, fitness",Prepare live not government outside receive blue but.,Casual Dating,Ambivert,ESFJ,"[189, 49, 226, 955, 230, 286, 932, 686]",325,11,0.32,2023-11-30,Master’s,Pension scheme manager,Libra,153,Curvy,English,Everyone,41,6,True,32,2024-03-04,False
69,Grace Rodriguez,31,F,Orlando,42.360081,-87.629799,"cooking, technology, music",Theory dark fall where receive send.,Casual Dating,Ambivert,ENFP,"[341, 538, 778, 258, 732, 256, 665, 612, 39, 717, 649, 654, 854, 429, 166]",135,5,0.59,2023-01-10,PhD,English as a foreign language teacher,Aries,199,Slim,"English, Spanish, Hindi",Men,61,5,True,77,2024-03-02,False
70,Michelle White,19,F,Raleigh,25.76168,-81.379234,"art, fitness, gaming",Life condition performance relationship action person tonight because over let drop.,Networking,Introvert,ENFP,"[893, 838, 480, 803, 12, 226, 173, 70, 43, 403, 337, 8, 291, 1000]",190,54,0.87,2023-12-24,PhD,"Development worker, international aid",Gemini,150,Curvy,"Hindi, Mandarin, English",Women,26,1,True,66,2024-03-13,False
71,Jennifer Hall,31,Non-binary,Los Angeles,42.331427,-104.990251,"gaming, cooking, reading",Authority push room your reflect establish describe time quality few key activity.,Networking,Extrovert,ENFP,"[188, 975, 800, 368, 813, 487, 936, 228, 815, 974, 580, 195, 770, 679]",24,55,0.32,2023-11-05,Master’s,Amenity horticulturist,Leo,161,Slim,"Hindi, Mandarin, Spanish",Men,23,4,True,14,2024-03-19,False
72,Deborah Johnston,42,M,Salt Lake City,32.715736,-80.19179,"travel, reading, fitness",Spend conference near town road near how relate against likely research.,Casual Dating,Extrovert,ESFJ,"[782, 22, 151, 446, 718, 730, 743, 435, 319, 496, 712, 719, 807, 39]",492,79,0.8,2023-04-10,Master’s,"Administrator, sports",Pisces,173,Average,French,Women,33,5,False,116,2024-03-31,False
73,David Lopez,27,F,Salt Lake City,28.538336,-98.493629,"sports, photography, music",Space personal bill process police bad left economic simple its later so.,Casual Dating,Extrovert,INFJ,"[940, 246, 47, 593, 33, 213, 667, 73, 684, 700, 226, 403, 171, 80, 963]",254,61,0.37,2023-06-04,PhD,Armed forces operational officer,Aries,172,Average,"Spanish, Mandarin, French",Everyone,24,2,True,37,2024-03-13,False
74,Courtney Lester,45,M,Raleigh,39.961176,-78.638176,"reading, cooking, sports",Serve almost admit product white soon chair late shake.,Long-term,Introvert,INTP,"[159, 978, 323, 474, 523, 450, 463, 881, 205, 789, 601, 903, 364, 175, 705]",240,39,0.85,2023-06-08,Master’s,Chiropodist,Aquarius,199,Slim,"French, English",Everyone,49,6,True,60,2024-03-30,False
75,Matthew Brown,21,M,San Antonio,41.878113,-104.990251,"technology, travel, cooking",Difference before thus many past fill nor church ground.,Friends,Introvert,INFJ,"[280, 317, 567, 674, 948, 542, 462, 779, 615]",97,17,0.96,2023-11-01,Master’s,Office manager,Taurus,162,Curvy,"Hindi, Spanish",Everyone,74,3,False,91,2024-03-14,False
76,Nicholas Martin,32,F,Miami,45.515232,-83.045753,"gaming, art, fitness",Institution evening movie finish than participant nature sea safe enough picture.,Networking,Ambivert,ENFP,"[888, 209, 539, 781, 326, 502]",359,70,0.41,2024-01-15,PhD,Advertising account planner,Capricorn,175,Athletic,"English, Hindi",Men,89,3,False,109,2024-03-14,False
